City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
281,Camamu,BR,-13.9447,-39.1039,78.96,80,100,5.17,overcast clouds
282,Manggar,ID,-2.8833,108.2667,77.23,86,90,2.15,overcast clouds
283,Saint-Francois,FR,46.4154,3.9054,49.44,62,0,16.11,clear sky
284,Nedjo,ET,9.5046,35.5019,67.6,31,59,4.97,broken clouds
285,Tagab,AF,34.855,69.6492,45.12,68,100,4.34,overcast clouds
286,Moctezuma,MX,29.8,-109.6667,76.14,11,5,5.55,clear sky
287,Azare,NG,11.6765,10.1948,73.71,12,2,9.31,clear sky
288,Lasa,IT,46.6166,10.7002,31.08,63,1,2.06,clear sky
289,Phuket,TH,8.0,98.25,79.02,83,75,5.75,broken clouds
290,Kamaishi,JP,39.2667,141.8833,32.72,69,100,3.87,overcast clouds
291,Zaysan,KZ,47.4667,84.8667,12.38,84,100,2.3,overcast clouds
292,Tahta,EG,26.7693,31.5021,61.12,34,0,8.48,clear sky
293,Gorontalo,ID,0.5412,123.0595,73.09,93,97,1.86,overcast clouds
294,Qeshm,IR,26.9581,56.2719,62.49,65,99,6.49,overcast clouds
295,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,85,11,12.86,few clouds
296,Businga,CD,3.3333,20.8833,76.62,31,96,1.41,overcast clouds
297,Nantucket,US,41.2835,-70.0995,37.51,86,100,17.27,overcast clouds
298,Lagoa,PT,39.05,-27.9833,56.43,61,92,5.41,overcast clouds
299,Tual,ID,-5.6667,132.75,80.96,77,100,8.77,overcast clouds
300,Kuzino,RU,57.0224,59.4412,13.44,98,100,3.62,overcast clouds
301,Fort Frances,CA,48.5999,-93.4003,2.16,52,0,6.91,clear sky
302,Boueni,YT,-12.9025,45.0761,78.78,73,1,3.2,clear sky
303,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,74,2,5.32,clear sky
304,Qasigiannguit,GL,68.8193,-51.1922,23.25,59,100,25.88,overcast clouds
305,Trinidad,BO,-14.8333,-64.9,84.18,54,75,11.5,light rain
306,Changying,CN,52.8733,123.3213,-6.18,100,100,2.46,overcast clouds
307,Seoul,KR,37.5683,126.9778,31.44,80,0,2.3,clear sky
308,Krasnovka,RU,48.8177,40.0923,21.2,95,6,5.14,clear sky
309,Beira,MZ,-19.8436,34.8389,80.69,83,20,9.22,few clouds
310,High Level,CA,58.5169,-117.136,-0.29,71,40,8.05,scattered clouds
311,Gejiu,CN,23.306,103.1635,40.03,93,35,3.31,scattered clouds
312,Iralaya,HN,15.0,-83.2333,82.49,64,0,9.93,clear sky
313,Maskinonge,CA,46.2286,-73.0192,7.34,59,100,4.61,overcast clouds
314,Dori,BF,14.0354,-0.0345,80.96,9,0,7.43,clear sky
315,Teya,RU,60.3778,92.6267,-17.01,100,22,3.38,few clouds
316,Ridgecrest,US,35.6225,-117.6709,71.65,13,0,1.99,clear sky
317,Nago,JP,26.5881,127.9761,64.83,91,100,11.36,light rain
318,Bengkulu,ID,-3.8004,102.2655,76.21,89,100,3.96,moderate rain
319,Katobu,ID,-4.9408,122.5276,73.78,95,83,3.96,broken clouds
320,Hasaki,JP,35.7333,140.8333,34.29,92,100,33.24,overcast clouds
321,Kautokeino,NO,69.0125,23.0412,4.41,98,100,2.68,overcast clouds
322,Deggendorf,DE,48.8333,12.9667,37.87,84,0,4.47,clear sky
323,Nur,PL,52.6683,22.3221,33.78,64,6,12.35,clear sky
324,Ayorou,NE,14.7308,0.9174,78.62,10,0,6.29,clear sky
325,Mishan,CN,45.55,131.8833,-12.01,100,52,3.02,broken clouds
326,Novaya Malykla,RU,54.2,49.95,17.4,96,83,4.56,light snow
327,Cockburn Town,TC,21.4612,-71.1419,80.56,65,40,17.27,scattered clouds
328,San Carlos De Bariloche,AR,-41.1456,-71.3082,85.75,13,0,24.16,clear sky
329,Noumea,NC,-22.2763,166.4572,80.01,99,100,4.94,overcast clouds
330,Caravelas,BR,-17.7125,-39.2481,79.74,76,90,9.73,overcast clouds
331,Bairiki,KI,1.3292,172.9752,80.6,78,20,3.44,few clouds
332,Plettenberg Bay,ZA,-34.0527,23.3716,67.26,85,29,3.58,scattered clouds
333,Chicama,PE,-7.8447,-79.1469,70.34,53,74,11.68,broken clouds
334,Loikaw,MM,19.6742,97.2094,54.77,32,18,3.6,few clouds
335,Kyren,RU,51.6828,102.1408,-8.3,95,99,1.41,overcast clouds
336,Granada,ES,37.25,-3.25,45.45,80,100,6.33,overcast clouds
337,Dunedin,NZ,-45.8742,170.5036,54.81,78,5,3.36,clear sky
338,Tougue,GN,11.4667,-11.6,72.23,16,0,3.2,clear sky
339,Netarhat,IN,23.4833,84.2667,45.88,34,0,2.28,clear sky
340,Datong,CN,40.0936,113.2914,2.61,82,4,4.03,clear sky
341,Ostrovnoy,RU,68.0531,39.5131,15.66,66,100,17.31,overcast clouds
342,Iqaluit,CA,63.7506,-68.5145,-16.31,75,100,3.44,overcast clouds
343,Lienz,AT,46.8289,12.769,31.71,89,5,3.24,clear sky
344,Millinocket,US,45.6573,-68.7098,20.91,32,0,5.75,clear sky
345,Kathmandu,NP,27.7167,85.3167,46.62,93,20,2.3,mist
